Obs,Time,Date,configName,configAuthor,remark,Observation,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt,MEASUREMENT_HEADER_END
97,11:16:14,2025-08-28,Manual gsw+F,LI-COR Default,,97,,,0.00188,2.923831,0.001879,0.066113,0.907737,0.906253,3.665311,2.757574,11.235463,11.253861,45.44149,0.441786,7.5,PSF-00232_20250828111614_d97,0,0,0,138.731354,243.476654,0.430207,0.5,0.8,193.873764,1,25.77,25.73,26.73,27.41,27.41,80.66,157,129.4,17.5,1127,3.929,11:10:35,2025-08-28,0.23,1,0,0,0,-7.993,-18.499,-49.936,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,233.676559,25,-7.494417,229.758026,232.737839,-2.979813,2.446208,2.454268,1.645556,0.863543,0.254588,0.007867,0.40395,1.04631,138.731354,0.000622,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828111614_d97,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
98,11:16:38,2025-08-28,Manual gsw+F,LI-COR Default,,98,,,0.001818,2.923354,0.001817,0.070335,0.822322,0.820741,3.854324,3.032002,10.175036,10.194638,47.783497,0.441786,7.5,PSF-00232_20250828111638_bab,0,0,0,82.692505,119.066986,0.305496,0.5,0.8,92.196556,1,23.14,23.09,26.88,28.27,28.27,80.66,156.9,154.3,1.7,754,3.929,11:10:35,2025-08-28,0.23,1,0,0.002,0.001,0.277,0.308,0.39,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,115.214828,25,-2.961854,113.620163,114.822922,-1.202759,2.441977,2.450008,1.645052,0.923653,0.253067,0.016358,0.40497,0.736061,82.716461,0.00062,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828111638_bab,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
99,11:16:57,2025-08-28,Manual gsw+F,LI-COR Default,,99,,,-0.058644,2.923278,-0.059845,-0.939524,0.797912,0.81904,2.041939,1.244027,10.15416,9.89223,25.315228,0.441786,7.5,PSF-00232_20250828111657_0af,0,0,0,1.563907,1.618266,0.033591,0.5,0.8,13.663775,1,22.29,22.88,27,17.77,17.77,80.66,156.9,-10.1,106.4,1017,3.929,11:10:35,2025-08-28,0.23,1,-9999,-9999,-9999,-9999,-9999,-9999,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,1.618266,25,-0.005385,1.594663,1.610551,-0.015888,2.441618,2.448611,1.644972,0.584295,0.251849,-0.103871,0.405705,0.954845,1.563907,0.000616,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828111657_0af,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
100,11:17:10,2025-08-28,Manual gsw+F,LI-COR Default,,100,,,0.011595,2.924585,0.01155,0.445374,0.781112,0.771106,3.802945,3.021833,9.560459,9.684523,47.150333,0.441786,7.5,PSF-00232_20250828111710_1a1,0,0,0,299.181091,385.167175,0.223244,0.5,0.8,103.141602,1,21.72,21.44,27.08,28.04,28.04,80.66,157.1,141.1,10.2,1155,3.926,11:10:35,2025-08-28,0.23,1,0,0,0.005,-7.279,-13.115,-20.175,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,365.989197,25,-15.373349,355.938782,363.13858,-7.199799,2.439257,2.447653,1.646353,0.891249,0.251007,0.01114,0.406243,1.069989,299.181091,0.000627,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828111710_1a1,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
101,11:17:42,2025-08-28,Manual gsw+F,LI-COR Default,,101,,,0.007763,2.922868,0.007743,0.272634,0.821872,0.815741,3.584584,2.762712,10.113135,10.189145,44.439838,0.441786,7.5,PSF-00232_20250828111742_cff,0,0,0,98.694565,271.829315,0.636925,0.5,0.8,96.328651,1,22.61,22.44,27.26,27.03,27.03,80.66,156.8,142,9.5,378,3.925,11:10:35,2025-08-28,0.23,1,-0.002,0,0.004,0.61,1.414,2.979,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,252.586121,25,-13.396361,250.852707,252.633545,-1.780838,2.440873,2.449101,1.64454,0.893331,0.249252,-0.002982,0.40755,0.422282,98.694565,0.000633,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828111742_cff,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
102,11:18:00,2025-08-28,Manual gsw+F,LI-COR Default,,102,,,0.006931,2.923686,0.006915,0.250259,0.814753,0.809128,3.652952,2.8382,10.031782,10.101515,45.290241,0.441786,7.5,PSF-00232_20250828111800_372,0,0,0,79.669479,210.809113,0.622078,0.5,0.8,223.034012,1,22.28,22.13,27.37,27.35,27.35,80.66,156.9,151.9,3.2,896,3.894,11:10:35,2025-08-28,0.23,1,0.001,0.001,0.003,-2.749,1.778,38.345,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,210.809113,25,68.868103,257.80426,309.490845,-51.686584,2.440342,2.448541,1.645402,0.917766,0.248212,-0.000427,0.408292,0.854312,79.669479,0.00062,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828111800_372,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
103,11:18:20,2025-08-28,Manual gsw+F,LI-COR Default,,103,,,0.001923,2.921653,0.001921,0.073523,0.796394,0.794738,3.795314,2.99892,9.852084,9.872609,47.049145,0.441786,7.5,PSF-00232_20250828111820_b8f,0,0,0,77.165009,225.969971,0.658517,0.5,0.8,56.945862,1,21.64,21.59,27.48,28,28,80.67,156.7,153.9,1.8,216,3.91,11:10:35,2025-08-28,0.23,1,0,0.004,0,0.354,0.877,1.724,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,219.515198,25,-4.42011,220.378525,219.636353,0.742172,2.439463,2.447479,1.643261,0.92268,0.247146,0.00606,0.409062,0.287302,78.100922,0.000636,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828111820_b8f,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
104,11:31:54,2025-08-28,Manual gsw+F,LI-COR Default,,104,,,0.002079,2.922796,0.002078,0.065734,0.668189,0.666708,3.158357,2.490168,8.269893,8.288256,39.176453,0.441786,7.5,PSF-00232_20250828113154_729,0,0,0,115.048172,390.558685,0.705427,0.5,0.8,32.322166,1,19.09,19.05,26.62,24.89,24.89,80.62,156.8,154.5,1.5,115,3.907,11:31:27,2025-08-28,0.2,1,0,0,0.001,-0.042,0.031,-0.167,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,381.986267,25,-5.833022,380.475281,382.2005,-1.72522,2.435365,2.443389,1.644463,0.924173,0.255692,-0.020336,0.431145,0.202567,115.048172,0.000639,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828113154_729,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
105,11:32:44,2025-08-28,Manual gsw+F,LI-COR Default,,105,,,0.029174,2.923596,0.028886,0.931242,0.683099,0.662144,3.219227,2.536128,8.21322,8.473147,39.931244,0.441786,7.5,PSF-00232_20250828113244_9bd,0,0,0,105.443718,286.761749,0.632295,0.5,0.8,34.365894,1,19.71,19.1,26.46,25.21,25.21,80.62,156.9,37,76.4,136,3.907,11:31:27,2025-08-28,0.2,1,0.003,0.006,0.003,-0.39,-0.747,-0.238,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,286.761749,25,0.533243,285.277954,287.525848,-2.247894,2.435474,2.444443,1.645307,0.668977,0.257368,-0.01469,0.432875,0.220348,105.443718,0.000646,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828113244_9bd,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
106,11:33:11,2025-08-28,Manual gsw+F,LI-COR Default,,106,,,0.019066,2.922267,0.018942,0.54948,0.640158,0.627774,2.927114,2.286955,7.786603,7.940219,36.306522,0.441786,7.5,PSF-00232_20250828113311_f35,0,0,0,105.134369,377.73764,0.721674,0.5,0.8,42.055531,1,18.58,18.22,26.35,23.62,23.62,80.62,156.8,150.7,3.9,146,3.904,11:31:27,2025-08-28,0.2,1,0,0.002,0.006,4.805,3.918,-4.692,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,377.73764,25,5.800374,382.327423,386.049042,-3.721619,2.434002,2.442553,1.643907,0.914675,0.258405,-0.031747,0.433517,0.228526,103.35553,0.00063,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828113311_f35,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
107,11:33:31,2025-08-28,Manual gsw+F,LI-COR Default,,107,,,0.015864,2.9238,0.015779,0.451914,0.638986,0.628812,2.897656,2.25867,7.798754,7.924942,35.937805,0.441786,7.5,PSF-00232_20250828113331_954,0,0,0,63.030125,234.063675,0.730714,0.5,0.8,35.022411,1,18.64,18.34,26.27,23.45,23.45,80.63,157,95.2,39.3,120,3.907,11:31:27,2025-08-28,0.2,1,-0.001,0.004,0.005,-2.817,1.196,-3.843,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,217.382309,25,-15.970073,209.829926,211.180008,-1.350082,2.434213,2.442658,1.645523,0.7866,0.259259,-0.032681,0.43409,0.206964,64.821838,0.000634,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828113331_954,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
108,11:34:05,2025-08-28,Manual gsw+F,LI-COR Default,,108,,,0.001672,2.922084,0.001671,0.050577,0.663392,0.662252,3.04761,2.384218,8.213644,8.227781,37.79829,0.441786,7.5,PSF-00232_20250828113405_b38,0,0,0,126.920341,422.254761,0.699422,0.5,0.8,40.363274,1,19.5,19.47,26.14,24.29,24.29,80.63,156.7,153.8,1.9,144,3.906,11:31:27,2025-08-28,0.2,1,0,-0.001,0,-0.368,-0.146,0.732,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,409.941681,25,-7.802754,412.527679,411.074127,1.453552,2.436122,2.444136,1.643715,0.922341,0.260653,-0.021511,0.435212,0.227348,126.920341,0.000633,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828113405_b38,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
109,11:34:54,2025-08-28,Manual gsw+F,LI-COR Default,,109,,,0.009186,2.924304,0.009157,0.260972,0.698779,0.69291,2.9447,2.245922,8.593699,8.666487,36.521152,0.441786,7.5,PSF-00232_20250828113454_746,0,0,0,130.644318,404.089539,0.676695,0.5,0.8,43.107231,1,20.75,20.58,25.96,23.72,23.72,80.63,157,149.9,4.5,159,3.902,11:31:27,2025-08-28,0.2,1,-0.001,-0.002,-0.001,1.686,3.761,5.144,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,404.079071,25,0.355495,404.771454,404.598938,0.172516,2.43799,2.446252,1.646056,0.91268,0.262463,-0.026012,0.436914,0.239838,130.644318,0.000639,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828113454_746,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
110,11:35:14,2025-08-28,Manual gsw+F,LI-COR Default,,110,,,0.003425,2.921785,0.003421,0.094585,0.672005,0.669873,2.852465,2.180459,8.3075,8.333941,35.37513,0.441786,7.5,PSF-00232_20250828113514_914,0,0,0,73.93634,313.518188,0.764172,0.5,0.8,43.390419,1,20.05,19.98,25.89,23.19,23.19,80.63,156.7,145,7.5,142,3.904,11:31:27,2025-08-28,0.2,1,0,0,0,-0.014,-0.023,0.042,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,305.957092,25,-5.045854,305.942047,306.287933,-0.345886,2.437011,2.445081,1.643399,0.900641,0.263245,-0.031138,0.437644,0.225412,73.93634,0.000654,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828113514_914,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
111,11:35:30,2025-08-28,Manual gsw+F,LI-COR Default,,111,,,-0.01156,2.922386,-0.011606,-0.237128,0.655394,0.660738,2.273005,1.617612,8.194103,8.127829,28.188559,0.441786,7.5,PSF-00232_20250828113530_23c,0,0,0,1.544237,1.62895,0.052004,0.5,0.8,27.653086,1,19.61,19.77,25.83,19.49,19.49,80.64,156.8,-10.3,106.6,1329,3.904,11:31:27,2025-08-28,0.2,1,-9999,-9999,-9999,-9999,-9999,-9999,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,1.625776,25,-0.012427,1.619339,1.611143,0.008196,2.436668,2.44436,1.644032,0.583895,0.263807,-0.07171,0.438251,1.21532,1.544237,0.000622,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828113530_23c,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
112,11:35:44,2025-08-28,Manual gsw+F,LI-COR Default,,112,,,0.017488,2.923087,0.017384,0.556978,0.713132,0.700595,3.233653,2.520521,8.687824,8.843292,40.099369,0.441786,7.5,PSF-00232_20250828113544_e4c,0,0,0,184.551712,203.154953,0.091572,0.5,0.8,59.07423,1,21.37,20.99,25.82,25.28,25.28,80.64,156.9,140.6,10.4,1613,3.904,11:31:27,2025-08-28,0.2,1,-0.001,0.001,0.003,-7.369,-4.386,3.618,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,187.292938,25,-15.58193,177.728897,180.827469,-3.098572,2.438686,2.447285,1.64477,0.889966,0.264006,-0.006275,0.438773,1.451603,199.302795,0.00062,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828113544_e4c,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
113,11:36:26,2025-08-28,Manual gsw+F,LI-COR Default,,113,,,0.054303,2.922962,0.053313,1.735858,0.714633,0.67556,3.275142,2.560509,8.378,8.862566,40.616879,0.441786,7.5,PSF-00232_20250828113626_7fd,0,0,0,73.882339,205.378555,0.640263,0.5,0.8,124.014183,1,21.42,20.25,25.81,25.5,25.5,80.64,156.9,12.8,91.8,484,3.903,11:31:27,2025-08-28,0.2,1,0.001,0.002,0.008,0.474,0.58,1.844,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,198.207382,25,-4.904381,196.7715,198.351028,-1.579529,2.437464,2.447379,1.644639,0.624419,0.264095,-0.003679,0.440859,0.510761,73.596954,0.000641,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828113626_7fd,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
114,11:37:06,2025-08-28,Manual gsw+F,LI-COR Default,,114,,,0.116148,2.923198,0.111709,4.520791,0.696806,0.595054,3.86733,3.170524,7.38042,8.642447,47.966286,0.441786,7.5,PSF-00232_20250828113706_49e,0,0,0,132.957809,157.419922,0.155394,0.5,0.8,111.944443,1,20.87,17.83,25.82,28.32,28.32,80.63,156.9,5.8,96.3,1801,3.902,11:31:27,2025-08-28,0.2,1,0.002,0.003,0.01,-0.857,-1.496,-3.563,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,154.734131,25,-1.813751,154.973022,154.820984,0.152039,2.433396,2.446469,1.644888,0.611928,0.26398,0.029696,0.443094,1.608492,133.72171,0.000624,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828113706_49e,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
115,11:37:42,2025-08-28,Manual gsw+F,LI-COR Default,,115,,,0.019203,2.923651,0.019078,0.675529,0.67338,0.658176,3.455356,2.781976,8.162659,8.351227,42.853146,0.441786,7.5,PSF-00232_20250828113742_07b,0,0,0,68.462135,95.151718,0.280495,0.5,0.8,181.674835,1,20.11,19.65,25.87,26.4,26.4,80.63,156.9,-10.2,106.5,1619,3.902,11:31:27,2025-08-28,0.2,1,0.006,0.005,0.006,2.16,-0.896,1.774,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,90.597153,25,-3.146857,90.326073,90.642555,-0.316483,2.43646,2.44518,1.645366,0.584047,0.263396,0.006132,0.445482,1.456978,68.462135,0.000616,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828113742_07b,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
116,11:38:41,2025-08-28,Manual gsw+F,LI-COR Default,,116,,,0.049937,2.920901,0.049097,2.042598,0.727716,0.681668,3.984554,3.256838,8.453279,9.02431,49.411942,0.441786,7.5,PSF-00232_20250828113841_a0a,0,0,0,136.756546,155.006134,0.117735,0.5,0.8,77.880386,1,21.54,20.18,26.02,28.84,28.84,80.64,156.6,3.6,97.7,1654,3.9,11:31:27,2025-08-28,0.2,1,0,0,0.01,-0.835,-2.381,-5.465,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,154.578568,25,-0.488806,154.458038,154.305725,0.152313,2.437312,2.447543,1.642472,0.607986,0.26184,0.033482,0.449227,1.485735,136.756546,0.00062,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828113841_a0a,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
117,11:39:36,2025-08-28,Manual gsw+F,LI-COR Default,,117,,,0.033274,2.92361,0.0329,1.245668,0.834092,0.806107,3.799615,2.965523,9.99624,10.343271,47.117653,0.441786,7.5,PSF-00232_20250828113936_013,0,0,0,238.181946,273.266266,0.128389,0.5,0.8,88.272606,1,24.44,23.62,26.2,28.02,28.02,80.64,156.9,154.3,1.7,1719,3.898,11:31:27,2025-08-28,0.2,1,-0.001,-0.001,0.006,-6.726,-14.441,-28.736,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,263.180847,25,-8.267075,258.197296,261.420288,-3.222992,2.442912,2.452251,1.645322,0.923504,0.260047,0.021565,0.452341,1.540028,238.181946,0.000608,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828113936_013,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
118,11:40:00,2025-08-28,Manual gsw+F,LI-COR Default,,118,,,0.022815,2.92375,0.022638,0.91315,0.81815,0.797633,3.974468,3.156317,9.890698,10.145117,49.283649,0.441786,7.5,PSF-00232_20250828114000_58e,0,0,0,196.050522,153.945923,-0.273503,0.5,0.8,-174.916168,1,23.85,23.25,26.28,28.8,28.8,80.64,157,153.4,2.3,1599,3.871,11:31:27,2025-08-28,0.2,1,-0.002,-0.004,-0.003,-8.734,-2.181,-3.406,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,153.945923,25,7.854446,170.588852,165.200623,5.388229,2.442306,2.451284,1.64547,0.92133,0.259146,0.029853,0.453661,1.439988,87.221863,0.000609,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828114000_58e,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
119,11:40:24,2025-08-28,Manual gsw+F,LI-COR Default,,119,,,0.014444,2.923403,0.014373,0.616636,0.751976,0.738108,4.107025,3.355049,9.154058,9.326051,50.935574,0.441786,7.5,PSF-00232_20250828114024_7bd,0,0,0,67.041992,78.837364,0.149617,0.5,0.8,75.403793,1,21.78,21.38,26.39,29.36,29.36,80.63,156.9,154.3,1.7,1260,3.895,11:31:27,2025-08-28,0.2,1,0.001,0.002,-0.012,-0.142,-0.258,14.212,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,77.605965,25,-0.865159,77.429291,77.597672,-0.168381,2.439245,2.447891,1.645104,0.923652,0.25803,0.035448,0.455022,1.157455,67.041992,0.000622,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828114024_7bd,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
120,11:40:46,2025-08-28,Manual gsw+F,LI-COR Default,,120,,,0.014377,2.921903,0.014307,0.65818,0.708216,0.693383,4.303488,3.595272,8.596848,8.780748,53.356407,0.441786,7.5,PSF-00232_20250828114046_4fb,0,0,0,27.708292,48.010551,0.422871,0.5,0.8,285.373535,1,20.4,19.98,26.48,30.18,30.18,80.66,156.7,153.5,2.1,1687,3.896,11:31:27,2025-08-28,0.2,1,0.003,0.004,0.007,-4.198,-3.379,4.645,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,35.220623,25,-8.735703,31.445862,35.493084,-4.047222,2.436924,2.445602,1.643524,0.92155,0.257119,0.044328,0.45608,1.513573,27.708292,0.00061,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828114046_4fb,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
121,11:41:13,2025-08-28,Manual gsw+F,LI-COR Default,,121,,,0.001342,2.9227,0.001342,0.042351,0.687194,0.68624,3.171683,2.48449,8.5091,8.520928,39.32761,0.441786,7.5,PSF-00232_20250828114113_c97,0,0,0,74.670197,272.522461,0.726004,0.5,0.8,37.659416,1,19.71,19.68,26.56,24.96,24.96,80.65,156.8,149,5,130,3.894,11:31:27,2025-08-28,0.2,1,-0.002,-0.002,0.003,-0.772,-0.25,-0.856,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,272.522461,25,6.948478,277.794952,282.479004,-4.684052,2.436424,2.444431,1.644363,0.910614,0.25633,-0.01878,0.457121,0.215182,74.670197,0.000629,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828114113_c97,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
122,11:41:34,2025-08-28,Manual gsw+F,LI-COR Default,,122,,,0.003145,2.923682,0.003142,0.095849,0.681014,0.678857,3.083748,2.402734,8.418439,8.445191,38.241276,0.441786,7.5,PSF-00232_20250828114134_8ca,0,0,0,106.203674,388.794586,0.726839,0.5,0.8,25.069754,1,19.51,19.45,26.57,24.49,24.49,80.64,156.9,128.2,18.3,86,3.895,11:31:27,2025-08-28,0.2,1,-0.001,0,0.004,0.169,0.409,0.293,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,386.40152,25,-1.530805,385.800354,386.601074,-0.80072,2.436038,2.444099,1.645398,0.86053,0.256161,-0.0244,0.457825,0.178957,106.203674,0.000636,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828114134_8ca,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
