sr,bed,row,col,unique_id,svc,li600,time,date,config_name,config_author,remark,observation,x8,x9,gsw,gbw,gtw,e_apparent,v_pcham,v_pref,v_pleaf,vp_dleaf,h2o_r,h2o_s,h2o_leaf,leaf_area,leaf_width,flash_id,fo,fm,fv_fm,fs,fm_2,phi_ps2,ps2_1,abs,etr,trans,rh_s,rh_r,tref,tmeas,tleaf,p_atm,flow,flow_s,leak_pct,qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,bla,blb,blc,bld,ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,p1_dur,p2_dur,p3_dur,p1_fmax,p2_ramp,p2_slp,p3_fmax,p3_pred,p3_delta_f,v_hum_a,v_hum_b,v_flow_in,v_flow_out,v_temp,v_irt,v_pres,v_par,v_f,i_led,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flow_in,z_flow_out,z_quantum,z_flr,flash_id_2,lci_ser_num,lcp_ser_num,lcf_ser_num,lcrh_ser_num,version,config_updated_at,x7,x8.x,x9.x,survey_notes,x8.y,x9.y,genotype,type.x,type.y,measurement_header_end
NA,C,38,C,1982,119,325,12:58:15,2025-08-07,Manual gsw+F,LI-COR Default,NA,325,NA,NA,0.021026,2.92509,0.020876,1.279846,0.819741,0.791058,5.561069,4.741328,9.823481,10.179673,69.058235,0.441786,7.5,PSF-00232_20250807125815_46c,0,0,0,66.888573,233.246933,0.713229,0.5,0.8,148.381531,1,15.13,14.6,34.25,34.72,34.72,80.53,157.1,156.4,0.4,520,3.838,12:53:45,2025-08-07,0.3,1,-0,0.001,0.031,0.8,1.418,16.357,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,220.953583,25,-9.620132,217.563278,219.462158,-1.89888,2.427056,2.435709,1.646888,0.928949,0.189305,0.005378,0.537916,0.540667,66.888573,6.19e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807125815_46c,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,C,39,C,2220,122,326,12:58:45,2025-08-07,Manual gsw+F,LI-COR Default,NA,326,NA,NA,0.011433,2.922772,0.011388,0.652326,0.799394,0.784743,5.239273,4.439879,9.744545,9.926474,65.05867,0.441786,7.5,PSF-00232_20250807125845_af5,0,0,0,67.867401,262.885254,0.741836,0.5,0.8,496.743317,1,14.69,14.42,34.33,33.65,33.65,80.53,156.8,146.5,6.6,1674,3.839,12:53:45,2025-08-07,0.3,1,0,0.001,0.004,0.114,0.226,18.161,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,234.970093,25,-21.53466,226.432083,232.028046,-5.595963,2.426745,2.434949,1.644439,0.904462,0.188747,-0.009109,0.538452,1.502662,67.867401,6.19e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807125845_af5,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,C,39,D,1821,123,327,12:58:58,2025-08-07,Manual gsw+F,LI-COR Default,NA,327,NA,NA,0.019545,2.922211,0.019415,1.02856,0.861917,0.838824,4.973659,4.111742,10.416029,10.702789,61.760029,0.441786,7.5,PSF-00232_20250807125858_66e,0,0,0,34.994961000000004,105.410812,0.668014,0.5,0.8,287.532318,1,15.81,15.39,34.36,32.72,32.72,80.53,156.8,155.9,0.6,1076,3.841,12:53:45,2025-08-07,0.3,1,0,0.001,0.021,-0.547,3.449,2.676,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,105.410812,25,-2.352434,102.322342,102.039986,0.282356,2.428389,2.436867,1.643848,0.927619,0.188504,-0.021124,0.538577,1.00416,34.994961000000004,6.13e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807125858_66e,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,C,40,C,1992,125,328,12:59:22,2025-08-07,Manual gsw+F,LI-COR Default,NA,328,NA,NA,0.023189,2.914628,0.023006,1.250537,0.837378,0.809121,5.054915,4.217538,10.046549,10.397396,62.764942,0.441786,7.5,PSF-00232_20250807125922_7e9,0,0,0,62.650681,205.608353,0.695291,0.5,0.8,307.692627,1,15.31,14.8,34.42,33.01,33.01,80.54,155.8,148.9,4.4,1106,3.84,12:53:45,2025-08-07,0.3,1,-0.001,-0.002,0.004,-0.834,-0.291,0.728,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,203.453781,25,-4.309471,203.488113,199.433273,4.0548400000000004,2.427382,2.436015,1.635942,0.910323,0.188114,-0.018207,0.538876,1.029397,62.650681,6.23e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807125922_7e9,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,C,40,D,2204,126,329,12:59:40,2025-08-07,Manual gsw+F,LI-COR Default,NA,329,NA,NA,0.003456,2.917591,0.003452,0.176282,0.898328,0.894358,4.863284,3.964955,11.105793,11.155097,60.390392,0.441786,7.5,PSF-00232_20250807125940_3d7,0,0,0,60.862183,252.020172,0.758503,0.5,0.8,306.694305,1,16.39,16.32,34.45,32.32,32.32,80.53,156.2,133.9,14.3,1011,3.839,12:53:45,2025-08-07,0.3,1,0.002,0.001,-0,0.14,0.128,0.25,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,229.23053,25,-17.814657,222.685928,226.493393,-3.807465,2.429958,2.437851,1.639014,0.874111,0.187834,-0.027224,0.539099,0.94979,60.862183,6.13e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807125940_3d7,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,C,41,D,2554,127,330,13:00:08,2025-08-07,Manual gsw+F,LI-COR Default,NA,330,NA,NA,0.009077,2.882936,0.009049,0.54066,0.959722,0.947222,5.576537,4.616816,11.761185,11.916381,69.241066,0.441786,7.5,PSF-00232_20250807130008_f60,0,0,0,87.574127,138.081787,0.365781,0.5,0.8,199.686859,1,17.45,17.22,34.52,34.77,34.77,80.54,152.1,141.4,7,1365,3.838,12:53:45,2025-08-07,0.3,1,0,0,-9999,-1.197,-3.154,-9999,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,132.37059,25,-4.081845,131.502274,132.23288,-0.730606,2.43145,2.439616,1.60434,0.892094,0.187323,0.002586,0.539491,1.244863,87.574127,6.12e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807130008_f60,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,C,42,D,2043,128,331,13:00:31,2025-08-07,Manual gsw+F,LI-COR Default,NA,331,NA,NA,0.051448,2.893311,0.050549,3.142291,0.973117,0.901057,5.76994,4.796823,11.188183,12.082932,71.643791,0.441786,7.5,PSF-00232_20250807130031_486,0,0,0,115.800621,149.672394,0.226306,0.5,0.8,178.811371,1,17.62,16.32,34.59,35.39,35.39,80.54,153.3,131.1,14.5,1975,3.837,12:53:45,2025-08-07,0.3,1,0,0.001,0.005,-0.105,-0.266,-0.144,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,145.451904,25,-2.851216,146.367783,145.586868,0.780914,2.429937,2.439903,1.614444,0.867499,0.18682000000000001,0.009571,0.53995,1.753842,115.800621,5.98e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807130031_486,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,C,46,D,1766,129,332,13:01:47,2025-08-07,Manual gsw+F,LI-COR Default,NA,332,NA,NA,0.066325,2.908746,0.064847,3.655391,0.98446,0.901639,5.345858,4.361398,11.195441,12.223813,66.378281,0.441786,7.5,PSF-00232_20250807130147_1b6,0,0,0,82.810165,190.694656,0.565745,0.5,0.8,410.83252,1,17.66,16.18,34.76,34.01,34.01,80.54,155.1,140.2,9.6,1815,3.833,12:53:45,2025-08-07,0.3,1,-0.002,-0.001,0.005,0.094,0.604,3.336,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,164.291733,25,-18.225471,162.168152,164.579208,-2.411057,2.429689,2.439957,1.629905,0.889004,0.185623,-0.01001,0.540274,1.620558,82.810165,6.03e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807130147_1b6,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,C,47,C,2255,131,333,13:02:07,2025-08-07,Manual gsw+F,LI-COR Default,NA,333,NA,NA,0.023647,2.883303,0.023454,1.444439,0.91058,0.877176,5.667906,4.757326,10.891619,11.306386,70.37664,0.441786,7.5,PSF-00232_20250807130207_86a,0,0,0,62.84058,220.549225,0.715072,0.5,0.8,292.278656,1,16.29,15.69,34.81,35.06,35.06,80.54,152.1,146.1,4,1022,3.835,12:53:45,2025-08-07,0.3,1,-0.001,-0.001,0.011,0.246,1.418,20.404,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,189.985153,25,-23.743807,182.253235,186.526505,-4.27327,2.428865,2.437641,1.604694,0.903395,0.185234,0.002658,0.540482,0.958957,62.84058,6.35e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807130207_86a,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,C,48,D,1919,133,NA,NA,2025-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,C,50,C,1794,135,334,13:02:43,2025-08-07,Manual gsw+F,LI-COR Default,NA,334,NA,NA,0.043798,2.889004,0.043144,2.578664,0.950227,0.890881,5.568955,4.618728,11.061863,11.798754,69.148438,0.441786,7.5,PSF-00232_20250807130243_e7b,0,0,0,112.433556,208.57402,0.460942,0.5,0.8,312.890076,1,16.89,15.84,34.92,34.74,34.74,80.54,152.8,138.9,9.1,1697,3.834,12:53:45,2025-08-07,0.3,1,-0,-0.001,0.012,-0.455,2.438,4.219,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,180.446869,25,-20.311285,173.03573600000001,179.469803,-6.434067,2.429103,2.438651,1.610222,0.885941,0.184436,-0.002803,0.541229,1.521822,112.433556,6.17e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807130243_e7b,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,C,50,D,2097,137,335,13:03:00,2025-08-07,Manual gsw+F,LI-COR Default,NA,335,NA,NA,-0.0027,2.911311,-0.002702,-0.163763,0.937676,0.941381,5.620185,4.682509,11.688475,11.642468,69.781937,0.441786,7.5,PSF-00232_20250807130300_c03,0,0,0,66.386101,228.361664,0.709294,0.5,0.8,119.321213,1,16.62,16.69,34.97,34.91,34.91,80.54,155.4,113.6,26.9,421,3.833,12:53:45,2025-08-07,0.3,1,-0.001,-0.005,0.022,-2.084,-1.267,0.631,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,224.21658300000001,25,-3.63657,224.152924,223.150787,1.002136,2.430525,2.438191,1.632528,0.827107,0.184072,-0.00135,0.541364,0.457682,66.386101,6.19e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807130300_c03,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,C,51,C,2397,138,337,13:03:27,2025-08-07,Manual gsw+F,LI-COR Default,NA,337,NA,NA,0.00782,2.854478,0.007799,0.500933,0.943952,0.932124,5.896062,4.95211,11.576766,11.723676,73.227768,0.441786,7.5,PSF-00232_20250807130327_fb3,0,0,0,106.348869,402.465942,0.735757,0.5,0.8,207.295624,1,16.66,16.45,35.06,35.78,35.78,80.52,148.9,148.5,0.2,704,3.83,12:53:45,2025-08-07,0.3,1,0.001,-0.001,0.006,-0.126,-0.094,4.878,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,387.009155,25,-11.470159,384.221802,386.030243,-1.808441,2.430115,2.438241,1.577707,0.909329,0.183477,0.008685,0.541818,0.694277,106.348869,6.27e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807130327_fb3,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,C,51,D,1831,139,338,13:03:46,2025-08-07,Manual gsw+F,LI-COR Default,NA,338,NA,NA,1.9e-4,2.834344,1.9e-4,0.011254,0.911702,0.911432,5.483086,4.571384,11.314968,11.318318,68.06974,0.441786,7.5,PSF-00232_20250807130346_52e,0,0,0,52.784801,89.505142,0.41026,0.5,0.8,310.705963,1,16.05,16.04,35.1,34.46,34.46,80.55,146.7,146.1,0.4,1893,3.83,12:53:45,2025-08-07,0.3,1,0,0.002,-0.001,-0.049,-0.364,3.163,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,84.988831,25,-3.492377,83.251122,84.500885,-1.249763,2.429429,2.437205,1.559731,0.903403,0.183147,-0.008655,0.542035,1.685501,52.784801,6.02e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807130346_52e,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,C,52,C,2516,140,339,13:04:14,2025-08-07,Manual gsw+F,LI-COR Default,NA,339,NA,NA,0.029588,2.914367,0.02929,1.590461,0.970688,0.9348,5.177387,4.206699,11.605822999999999,12.051383,64.278824,0.441786,7.5,PSF-00232_20250807130414_a03,0,0,0,80.4981,328.238464,0.754757,0.5,0.8,453.401917,1,16.99,16.36,35.2,33.44,33.44,80.55,155.8,132.5,14.9,1502,3.831,13:04:04,2025-08-07,0.4,1,0,0.001,-0.007,0.051,0.765,33.475,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,274.983643,25,-41.718075,256.662018,268.460266,-11.798248,2.429956,2.438613,1.635672,0.870856,0.182433,-0.022893,0.542466,1.359089,80.4981,6.18e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807130414_a03,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,C,53,C,2311,142,340,13:04:33,2025-08-07,Manual gsw+F,LI-COR Default,NA,340,NA,NA,0.01525,2.924276,0.015171,0.997857,0.911223,0.888866,5.98232,5.071097,11.035607,11.313181,74.272781,0.441786,7.5,PSF-00232_20250807130433_139,0,0,0,63.250065,119.387695,0.470213,0.5,0.8,154.248199,1,15.89,15.5,35.27,36.04,36.04,80.55,157,0.2,99.9,820,3.831,13:04:04,2025-08-07,0.4,1,0.005,0.004,0.007,0.44,0.983,4.238,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,105.638977,25,-10.232273,102.129219,104.725777,-2.596558,2.428498,2.436745,1.646026,0.602077,0.181948,0.00933,0.542597,0.790762,63.250065,6.17e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807130433_139,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,C,53,D,2640,143,341,13:04:49,2025-08-07,Manual gsw+F,LI-COR Default,NA,341,NA,NA,0.02621,2.874364,0.025973,1.693945,0.912641,0.8732,5.942065,5.029424,10.84145,11.33114,73.775291,0.441786,7.5,PSF-00232_20250807130449_e0b,0,0,0,18.584133,34.831585,0.466457,0.5,0.8,193.081192,1,15.87,15.18,35.33,35.92,35.92,80.54,151.1,149.1,1.3,1035,3.83,13:04:04,2025-08-07,0.4,1,0.001,0.002,0.012,0.289,0.762,2.824,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,32.671452,25,-1.566627,32.068134,32.58675,-0.518616,2.427953,2.4367,1.596156,0.910803,0.18156,0.007046,0.542687,0.969776,18.584133,6.16e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807130449_e0b,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,C,55,D,2519,147,342,13:05:14,2025-08-07,Manual gsw+F,LI-COR Default,NA,342,NA,NA,0.11744,2.924244,0.112906,6.849002,1.034752,0.88154,5.715718,4.680966,10.945232,12.847513,70.96656,0.441786,7.5,PSF-00232_20250807130514_251,0,0,0,74.449539,152.942642,0.513219,0.5,0.8,399.711731,1,17.92,15.27,35.4,35.21,35.21,80.54,157,31.6,79.9,1947,3.83,13:04:04,2025-08-07,0.4,1,-0,-0.002,0.01,-0.934,-0.698,-3.809,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,135.714767,25,-11.86737,134.165527,135.937775,-1.772247,2.428096,2.440152,1.645993,0.658811,0.181089,-0.002837,0.542789,1.730294,74.449539,6.06e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807130514_251,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,C,56,D,2559,149,343,13:05:32,2025-08-07,Manual gsw+F,LI-COR Default,NA,343,NA,NA,0.017503,2.862133,0.017397,1.177733,0.947149,0.919488,6.159193,5.212043,11.416113,11.759547,76.470856,0.441786,7.5,PSF-00232_20250807130532_135,0,0,0,56.788086,141.486298,0.598632,0.5,0.8,220.294037,1,16.36,15.88,35.45,36.57,36.57,80.54,149.7,149.5,0.1,920,3.829,13:04:04,2025-08-07,0.4,1,0.001,-0.001,0.008,0.699,1.299,5.111,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,124.754189,25,-12.745225,120.941879,123.223549,-2.28167,2.429124,2.437523,1.584723,0.911802,0.180725,0.01397,0.543083,0.874039,56.788086,6.35e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807130532_135,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,C,57,D,1835,151,344,13:05:55,2025-08-07,Manual gsw+F,LI-COR Default,NA,344,NA,NA,0.009098,2.844187,0.009069,0.586343,0.959821,0.945868,5.944446,4.984625,11.743089,11.916316,73.801186,0.441786,7.5,PSF-00232_20250807130555_c57,0,0,0,115.025642,316.537811,0.636613,0.5,0.8,455.370605,1,16.52,16.28,35.52,35.93,35.93,80.55,147.8,146.8,0.6,1788,3.826,13:04:04,2025-08-07,0.4,1,-0.001,-0.002,0.004,-0.281,-1.229,-0.466,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,292.745941,25,-17.656860000000002,285.253296,291.237152,-5.983856,2.429779,2.437782,1.568435,0.905134,0.180249,0.004749,0.543523,1.597886,115.025642,6.15e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807130555_c57,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,C,58,C,2031,152,345,13:06:10,2025-08-07,Manual gsw+F,LI-COR Default,NA,345,NA,NA,0.032991,2.83647,0.032612,2.016549,0.861461,0.813146,5.640883,4.779422,10.095579,10.695437,70.034157,0.441786,7.5,PSF-00232_20250807130610_ad9,0,0,0,76.994064,243.135056,0.683328,0.5,0.8,433.094482,1,14.79,13.96,35.55,34.98,34.98,80.54,146.9,145.8,0.8,1585,3.828,13:04:04,2025-08-07,0.4,1,-0.001,-0,0.015,0.952,2.293,5.093,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,213.295334,25,-23.138016,203.94838,209.980392,-6.032013,2.425851,2.43484,1.561598,0.902619,0.179977,-0.007907,0.543535,1.428025,76.994064,6.1e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807130610_ad9,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,C,58,D,2457,153,346,13:06:28,2025-08-07,Manual gsw+F,LI-COR Default,NA,346,NA,NA,0.01325,2.826239,0.013188,0.803061,0.814449,0.795054,5.526062,4.711613,9.870831,10.111629,68.607742,0.441786,7.5,PSF-00232_20250807130628_eac,0,0,0,64.182755,163.00238,0.606247,0.5,0.8,256.403687,1,13.96,13.62,35.59,34.61,34.61,80.55,145.8,145.1,0.5,1057,3.823,13:04:04,2025-08-07,0.4,1,0.001,0.001,0.018,-0.005,0.604,4.076,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,142.507904,25,-14.521793,136.67572,142.19397,-5.51825,2.425264,2.43339,1.552679,0.90108,0.179713,-0.013103,0.543577,0.988545,64.182755,6.19e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807130628_eac,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,D,4,A,1993,154,347,13:11:45,2025-08-07,Manual gsw+F,LI-COR Default,NA,347,NA,NA,0.014529,2.923255,0.014457,0.76274,0.756116,0.738992,4.854414,4.098298,9.181595,9.39435,60.31358,0.441786,7.5,PSF-00232_20250807131145_78a,0,0,0,118.344788,154.696747,0.234989,0.5,0.8,131.779053,1,13.78,13.47,34.47,32.29,32.29,80.49,156.9,156.2,0.5,1402,3.822,13:04:04,2025-08-07,0.4,1,0.001,0.003,0.009,-2.976,-5.713,3.142,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,148.526428,25,-4.573372,146.661758,148.143524,-1.481766,2.425096,2.433182,1.644947,0.928323,0.187688,-0.027878,0.536406,1.275855,118.344788,6.01e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807131145_78a,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,D,5,A,2483,155,NA,NA,2025-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,D,9,A,2155,156,348,13:12:29,2025-08-07,Manual gsw+F,LI-COR Default,NA,348,NA,NA,0.003436,2.897974,0.003432,0.224203,0.81606,0.810928,5.858244,5.042184,10.071605,10.135343,72.758522,0.441786,7.5,PSF-00232_20250807131229_0f5,0,0,0,111.962196,120.898964,0.073919,0.5,0.8,55.170826,1,15,14.91,34.32,35.66,35.66,80.52,153.8,152.9,0.6,1866,3.818,13:04:04,2025-08-07,0.4,1,0.002,0.001,0.003,-0.098,-1.081,-3.498,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,120.898964,25,0.845208,121.954323,122.110069,-0.155746,2.427581,2.435311,1.619059,0.920264,0.188807,0.016555,0.536357,1.662628,111.962196,6.07e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250807131229_0f5,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
